t,player_x,obs1_x,obs1_y,obs2_x,obs2_y,obs3_x,obs3_y
0.055,0.5000,-1,-1,-1,-1,-1,-1
0.103,0.5000,-1,-1,-1,-1,-1,-1
0.150,0.5000,-1,-1,-1,-1,-1,-1
0.196,0.5000,-1,-1,-1,-1,-1,-1
0.245,0.5000,-1,-1,-1,-1,-1,-1
0.291,0.5000,-1,-1,-1,-1,-1,-1
0.338,0.5000,-1,-1,-1,-1,-1,-1
0.401,0.5000,-1,-1,-1,-1,-1,-1
0.448,0.5000,-1,-1,-1,-1,-1,-1
0.495,0.5000,-1,-1,-1,-1,-1,-1
0.541,0.5000,-1,-1,-1,-1,-1,-1
0.604,0.5000,-1,-1,-1,-1,-1,-1
0.650,0.5000,-1,-1,-1,-1,-1,-1
0.698,0.5000,-1,-1,-1,-1,-1,-1
0.745,0.5000,-1,-1,-1,-1,-1,-1
0.793,0.5000,-1,-1,-1,-1,-1,-1
0.855,0.5308,-1,-1,-1,-1,-1,-1
0.918,0.5469,-1,-1,-1,-1,-1,-1
0.952,0.5378,-1,-1,-1,-1,-1,-1
1.011,0.5082,0.8809,-0.0096,-1,-1,-1,-1
1.061,0.5082,0.8809,-0.0019,-1,-1,-1,-1
1.108,0.5082,0.8809,0.0054,-1,-1,-1,-1
1.155,0.5082,0.8809,0.0127,-1,-1,-1,-1
1.202,0.5082,0.8809,0.0200,-1,-1,-1,-1
1.263,0.5082,0.8809,0.0295,-1,-1,-1,-1
1.310,0.5082,0.8809,0.0367,-1,-1,-1,-1
1.356,0.5082,0.8809,0.0439,-1,-1,-1,-1
1.403,0.5082,0.8809,0.0511,-1,-1,-1,-1
1.450,0.5082,0.8809,0.0584,-1,-1,-1,-1
1.496,0.5082,0.8809,0.0656,-1,-1,-1,-1
1.543,0.5082,0.8809,0.0728,-1,-1,-1,-1
1.606,0.5082,0.8809,0.0826,-1,-1,-1,-1
1.669,0.5082,0.8809,0.0923,-1,-1,-1,-1
1.731,0.5082,0.8809,0.1020,-1,-1,-1,-1
1.778,0.5082,0.8809,0.1093,-1,-1,-1,-1
1.839,0.5082,0.8809,0.1187,-1,-1,-1,-1
1.901,0.5082,0.8809,0.1283,-1,-1,-1,-1
1.964,0.5082,0.8809,0.1380,0.7176,-0.0140,-1,-1
2.011,0.5082,0.8809,0.1454,0.7176,-0.0063,-1,-1
2.058,0.5082,0.8809,0.1526,0.7176,0.0011,-1,-1
2.120,0.5082,0.8809,0.1622,0.7176,0.0111,-1,-1
2.168,0.5082,0.8809,0.1696,0.7176,0.0187,-1,-1
2.214,0.5082,0.8809,0.1767,0.7176,0.0260,-1,-1
2.260,0.5082,0.8809,0.1839,0.7176,0.0334,-1,-1
2.323,0.5082,0.8809,0.1936,0.7176,0.0435,-1,-1
2.370,0.5082,0.8809,0.2009,0.7176,0.0509,-1,-1
2.416,0.5082,0.8809,0.2081,0.7176,0.0583,-1,-1
2.478,0.5082,0.8809,0.2177,0.7176,0.0682,-1,-1
2.525,0.5082,0.8809,0.2249,0.7176,0.0757,-1,-1
2.588,0.5082,0.8809,0.2346,0.7176,0.0858,-1,-1
2.651,0.5082,0.8809,0.2444,0.7176,0.0958,-1,-1
2.697,0.5082,0.8809,0.2516,0.7176,0.1032,-1,-1
2.744,0.5082,0.8809,0.2589,0.7176,0.1108,-1,-1
2.791,0.5082,0.8809,0.2661,0.7176,0.1182,-1,-1
2.837,0.5082,0.8809,0.2732,0.7176,0.1256,-1,-1
2.884,0.5082,0.8809,0.2805,0.7176,0.1330,-1,-1
2.946,0.5082,0.8809,0.2902,0.7176,0.1430,0.0324,-0.0085
2.993,0.5082,0.8809,0.2974,0.7176,0.1505,0.0324,-0.0008
3.039,0.5082,0.8809,0.3045,0.7176,0.1578,0.0324,0.0068
3.085,0.5082,0.8809,0.3117,0.7176,0.1653,0.0324,0.0144
3.131,0.5082,0.8809,0.3189,0.7176,0.1726,0.0324,0.0220
3.180,0.5082,0.8809,0.3264,0.7176,0.1804,0.0324,0.0300
3.227,0.5000,0.8809,0.3336,0.7176,0.1879,0.0324,0.0377
3.274,0.4766,0.8809,0.3409,0.7176,0.1954,0.0324,0.0454
3.322,0.4604,0.8809,0.3484,0.7176,0.2031,0.0324,0.0534
3.370,0.4604,0.8809,0.3559,0.7176,0.2108,0.0324,0.0614
3.417,0.4604,0.8809,0.3630,0.7176,0.2182,0.0324,0.0690
3.464,0.4604,0.8809,0.3703,0.7176,0.2257,0.0324,0.0767
3.512,0.4604,0.8809,0.3778,0.7176,0.2335,0.0324,0.0847
3.574,0.4604,0.8809,0.3873,0.7176,0.2433,0.0324,0.0948
3.620,0.4604,0.8809,0.3945,0.7176,0.2507,0.0324,0.1024
3.667,0.4604,0.8809,0.4018,0.7176,0.2582,0.0324,0.1101
3.728,0.4604,0.8809,0.4112,0.7176,0.2680,0.0324,0.1202
3.790,0.4604,0.8809,0.4209,0.7176,0.2779,0.0324,0.1304
3.837,0.4604,0.8809,0.4281,0.7176,0.2853,0.0324,0.1381
3.884,0.4604,0.8809,0.4354,0.7176,0.2929,0.0324,0.1458
3.930,0.4604,0.8809,0.4426,0.7176,0.3003,0.0324,0.1535
